"","Culm_diameter","Culm_length","Culm_number","Grain_length","Grain_width","Grain_weight","Heading_date","Ligule_length","Leaf_length","Leaf_width","Panicle_length","Seedling_height"
"IRIS_313.8498",4,137,17,8.3,2.8,2.1,130,19,65,1,25,48
"IRIS_313.9172",4,92,13,8,3.3,2.9,111,18,54,1.3,28,42
"IRIS_313.10667",5,98,16,8.2,3.1,3,111,23,55,1.4,23,40
"IRIS_313.10668",4,121,22,10.3,2.5,2.9,111,20,57,1.2,26,37
"IRIS_313.10850",6,116,7,8.4,3.8,2.8,81,17,61,1.8,28,34
"IRIS_313.10933",4,124,13,7.6,3.4,2.7,107,23,62,1.2,23,22
"IRIS_313.10851",5,124,13,8.4,3,2.3,130,24,58,1.2,27,36
"IRIS_313.10852",5,119,15,7.2,3.5,2.1,62,24,49,1.7,19,48
"IRIS_313.11291",5,113,15,6.7,2.9,1.7,80,22,60,1.6,27,46
"IRIS_313.10995",4,133,13,7.8,3.1,2.6,117,28,73,1.4,26,32
"IRIS_313.10950",5,131,12,8.5,3.3,2.5,103,25,77,1.5,25,18
"IRIS_313.11812",6,142,17,10.2,2.8,2.3,115,33,86,1.6,30,55
"IRIS_313.9594",6,116,20,7.5,3,2.6,114,20,50,1.4,25,41
"IRIS_313.8850",4,152,23,8.2,3.2,2.3,105,22,53,1.4,30,36
"IRIS_313.9572",4,74,10,8.5,2.6,2.4,90,21,51,1,27,51
"IRIS_313.10924",5,125,11,9.2,2.8,1.8,94,21,79,1.6,22,68
"IRIS_313.10760",4,129,12,8.4,3.1,1.9,112,24,61,1.6,26,30
"IRIS_313.11048",5,102,25,8.7,3.2,3,68,14,47,1.1,26,29
"IRIS_313.9066",5,99,22,9.4,2.9,2.5,78,17,53,1.5,25,30
"IRIS_313.11049",5,103,25,8.2,3,2.4,62,18,54,1.1,23,39
"IRIS_313.11050",4,113,23,8.2,3,2.5,68,18,58,1.2,24,43
"IRIS_313.11051",4,111,25,8.2,3,2.3,68,18,50,1,24,36
"IRIS_313.11052",4,112,23,7.5,3.2,2.3,68,15,54,1.3,25,39
"IRIS_313.11053",5,119,20,7.9,3.4,2.7,68,20,58,1.6,25,37
"IRIS_313.11054",4,118,24,8.1,3.2,2.7,68,17,60,1.3,27,40
"IRIS_313.11055",4,106,22,7.5,3.3,2.4,68,17,61,1.2,27,38
"IRIS_313.11056",4,103,23,9.6,3.2,2.7,68,15,42,1.2,21,40
"IRIS_313.11057",4,125,20,8.2,3.1,2.5,62,19,57,1.2,26,43
"IRIS_313.11058",5,124,21,8.6,3.2,2.6,72,20,51,1.3,26,40
"IRIS_313.11059",4,117,23,9,3.3,3,68,15,44,1.2,23,42
"IRIS_313.11060",5,130,22,8.3,3.1,2.2,68,15,49,1.6,23,34
"IRIS_313.8641",4,110,26,9,2.6,1.9,72,19,41,1.7,30,36
